lib_id	norRNA_reads
19BJAW1844	2668795
19BJKW1828	4244347
19BJKW1830	6861620
19BJKW1829	6676046
19BJKW1831	4522622
19BJKW1832	6258776
19BJKW1833	9728199
19BJKW1834	7883682
19BJKW1836	6493813
19BJKW1835	8120909
19BJSR1839	5342679
19BJSR1838	5191696
19BJSR1840	5061219
19BJKW1837	8206014
19BJSR1841	3683885
19BJYW1818	980802
19BJSR1842	3956433
19BJYW1821	2895055
19BJYW1819	4095359
19BJYW1820	5115655
19BJYW1823	2767630
19BJYW1822	3034650
19BJSR1843	10206860
19BJYW1824	2573309
19BJYW1825	4162609
19BJYW1827	6040262
19BJYW1826	9483002
19GDAW1958	6635948
19GDAW1959	4142751
19GDAW1960	5513892
19GDAW1963	2751763
19GDAW1962	4236347
19GDAW1961	6681076
19GDKW1931	4604600
19GDAW2127	7440311
19GDAW2128	6146459
19GDAW2126	10479878
19GDKW1934	3723716
19GDKW1932	6763920
19GDKW1933	7289459
19GDKW1935	3929623
19GDKW1936	3470494
19GDKW1938	2496836
19GDKW1937	3759931
19GDKW2124	6636140
19GDSDH1939	6617425
19GDSDH1942	2298361
19GDSDH1940	6092247
19GDSDH1941	6083759
19GDSDH1944	3214742
19GDSDH1946	2979130
19GDSDH1945	3689231
19GDSDH1943	7220285
19GDSDH1947	3173856
19GDSDH1948	2906376
19GDSR1950	2793402
19GDSR1949	4919461
19GDSR1951	3643574
19GDSR1952	5080491
19GDSR1954	4578466
19GDSR1955	4836918
19GDSR1956	4397029
19GDSR1953	7888539
19GDSR1957	6116456
19GDSR2125	6822817
19GDYW2116	6349522
19GDYW2114	10261346
19GDYW2117	3568781
19GDYW2115	9387528
19GDYW2119	1316126
19GDYW2120	2156389
19GDYW2118	3926204
19GDYW2121	2467845
19GDYW2122	2083763
19GDYW2123	2909450
19GSSR0886	3190842
19GSSR0885	4331930
19GSSR0884	6286215
19GSSR0889	3433964
19GSSR0888	3739177
19GSSR0887	8081985
19GSSR0890	5058877
19GSSR0891	3693656
19GSSR0892	6624126
19HEBAW2017	2837511
19GSSR0893	6443917
19HEBAW2018	5543214
19HEBAW2019	2799827
19HEBAW2021	2676622
19HEBAW2020	2594369
19HEBAW2022	1351635
19HEBAW2026	976703
19HEBAW2023	2532571
19HEBBM1991	1595521
19HEBAW2024	1843720
19HEBBM1992	1250563
19HEBAW2025	4363342
19HEBBM1994	1324633
19HEBBM1993	2147510
19HEBBM1995	1603392
19HEBKW1997	1109713
19HEBKW1998	837199
19HEBBM1996	2529383
19HEBKW1999	1542012
19HEBKW2000	1507673
19HEBKW2001	2154799
19HEBKW2003	1375159
19HEBKW2002	2491612
19HEBKW2004	2151353
19HEBKW2006	1988618
19HEBKW2005	2433318
19HEBSR2008	1380543
19HEBSR2007	2489259
19HEBSR2010	872781
19HEBSR2009	1636169
19HEBSR2011	1382551
19HEBSR2013	1642983
19HEBSR2014	1365260
19HEBSR2012	2686573
19HEBSR2015	2570143
19HEBSR2016	1987707
19HENKW1970	2386168
19HENKW1969	3029925
19HENAW1990	3026190
19HENAW1989	3058670
19HENKW2134	3739614
19HENKW2135	4245821
19HENKW2136	3299141
19HENKW2139	2673444
19HENKW2141	2423780
19HENKW2140	5154243
19HENKW2138	8169484
19HENKW2137	9455064
19HENSDH1973	1850326
19HENSDH1972	3066952
19HENSDH1974	2051062
19HENSDH1971	6873133
19HENSDH1975	2395573
19HENSDH1976	3367503
19HENSDH2142	1914730
19HENSDH1977	3878603
19HENSDH2143	2827525
19HENSR1979	2651691
19HENSDH1978	4279079
19HENSR1980	3758616
19HENSR1983	3447464
19HENSR1981	4787533
19HENSR1982	5032883
19HENSR1984	3267323
19HENSR1986	2900522
19HENSR1985	3872166
19HENSR1987	4813185
19HENSR1988	3831855
19HENYW1965	2496924
19HENYW1964	4005278
19HENYW1966	3161266
19HENYW1967	3308772
19HENYW2129	3780974
19HENYW2130	1705772
19HENYW1968	4999175
19HENYW2131	2720354
19HENYW2132	2184743
19HENYW2133	2379968
19HUNAW0972	2025517
19HUNAW0973	3568107
19HUNAW0971	5267354
19HUNAW0974	4540330
19HUNAW0975	4482419
19HUNAW0976	5056691
19HUNAW0977	7408764
19HUNAW0978	4918009
19HUNKW0945	1616708
19HUNAW0979	7221813
19HUNKW0947	247234
19HUNKW0944	5566609
19HUNKW0948	526525
19HUNAW0980	6436196
19HUNKW0950	3050414
19HUNKW0949	3336434
19HUNKW0951	3400539
19HUNKW0946	5475964
19HUNKW0952	4858467
19HUNSDH0954	5967777
19HUNKW0953	6483302
