virus_name	old_new_name	revision	new_name	qseqid
flavi0033	Mosquito flavi-like virus HLJ1	Mosquito flavi-like virus HLJ2	Mosquito flavi-like virus HLJ2	Seq104
flavi0004	Mosquito flavi-like virus HLJ1		Mosquito flavi-like virus HLJ1	Seq103
hepe0054	Mosquito hepe-like virus HLJ2	Mosquito hepe-like virus HLJ6	Mosquito hepe-like virus HLJ6	Seq160
hepe0027	Mosquito hepe-like virus HLJ2		Mosquito hepe-like virus HLJ2	Seq158
luteo0030	Mosquito luteo-like virus HLJ1	Mosquito luteo-like virus HLJ3	Mosquito luteo-like virus HLJ3	Seq189
luteo0033	Mosquito luteo-like virus HLJ2	Mosquito luteo-like virus HLJ4	Mosquito luteo-like virus HLJ4	Seq190
luteo0004	Mosquito luteo-like virus HLJ1		Mosquito luteo-like virus HLJ1	Seq187
luteo0011	Mosquito luteo-like virus HLJ2		Mosquito luteo-like virus HLJ2	Seq188
narna0068	Heilongjiang narna-like virus HLJ1	Heilongjiang narna-like virus HLJ2	Heilongjiang narna-like virus HLJ2	Seq311
narna0062	Mosquito narna-like virus HLJ2	Mosquito narna-like virus HLJ4	Mosquito narna-like virus HLJ4	Seq312
narna0044	Heilongjiang narna-like virus HLJ1		Heilongjiang narna-like virus HLJ1	Seq309
narna0012	Mosquito narna-like virus HLJ2		Mosquito narna-like virus HLJ2	Seq310
picorna0001	Mosquito picorna-like virus HLJ1		Mosquito picorna-like virus HLJ1	Seq442
picorna0042	Mosquito picorna-like virus HLJ2	Mosquito picorna-like virus HLJ4	Mosquito picorna-like virus HLJ4	Seq445
picorna-like_21JGDQWCGCRYW3550_17778_m6.0000_2274	Mosquito picorna-like virus HLJ1	Mosquito picorna-like virus HLJ3	Mosquito picorna-like virus HLJ3	Seq444
picorna0010	Mosquito picorna-like virus HLJ2		Mosquito picorna-like virus HLJ2	Seq443
tombus0032	Heilongjiang tombus-like virus HLJ1	Heilongjiang tombus-like virus HLJ3	Heilongjiang tombus-like virus HLJ3	Seq490
tombus0019	Heilongjiang tombus-like virus HLJ1		Heilongjiang tombus-like virus HLJ1	Seq487
hepe0044	Gansu hepe-like virus GS1		Gansu hepe-like virus GS1	Seq145
hepe0057	Guangdong hepe-like virus GD1		Guangdong hepe-like virus GD1	Seq131
parvo0061	Guangdong parvo-like virus GD1		Guangdong parvo-like virus GD1	Seq401
hepe0045	Guangxi hepe-like virus GX1		Guangxi hepe-like virus GX1	Seq133
hepe0048	Guangxi hepe-like virus GX2		Guangxi hepe-like virus GX2	Seq134
toti0088	Guangxi toti-like virus GX1		Guangxi toti-like virus GX1	Seq524
astro0002	Guizhou astro-like virus GZ1		Guizhou astro-like virus GZ1	Seq2
bunya0047	Guizhou bunya-like virus GZ1		Guizhou bunya-like virus GZ1	Seq59
hepe0062	Guizhou hepe-like virus GZ1		Guizhou hepe-like virus GZ1	Seq153
hepe0064	Guizhou hepe-like virus GZ2		Guizhou hepe-like virus GZ2	Seq154
hepe0065	Guizhou hepe-like virus GZ3		Guizhou hepe-like virus GZ3	Seq155
narna0028	Guizhou narna-like virus GZ1		Guizhou narna-like virus GZ1	Seq308
bunya0061	Hainan bunya-like virus HAN1		Hainan bunya-like virus HAN1	Seq42
