virus_name,virus_group,baltimore_class,display_order
flavi0001,flavi,ss+RNA,1
flavi0002,flavi,ss+RNA,2
flavi0003,flavi,ss+RNA,3
flavi0004,flavi,ss+RNA,4
flavi0006,flavi,ss+RNA,5
flavi0007,flavi,ss+RNA,6
flavi0008,flavi,ss+RNA,7
flavi0009,flavi,ss+RNA,8
flavi0010,flavi,ss+RNA,9
flavi0013,flavi,ss+RNA,10
flavi0018,flavi,ss+RNA,11
flavi0029,flavi,ss+RNA,12
flavi0033,flavi,ss+RNA,13
flavi0034,flavi,ss+RNA,14
flavi0035,flavi,ss+RNA,15
flavi-like_19NBSDH2099_6579_m6.0000_1522,flavi,ss+RNA,16
astro0002,astro,ss+RNA,17
astro0003,astro,ss+RNA,18
hepe0001,hepe,ss+RNA,19
hepe0002,hepe,ss+RNA,20
hepe0003,hepe,ss+RNA,21
hepe0004,hepe,ss+RNA,22
hepe0005,hepe,ss+RNA,23
hepe0007,hepe,ss+RNA,24
hepe0008,hepe,ss+RNA,25
hepe0010,hepe,ss+RNA,26
hepe0011,hepe,ss+RNA,27
hepe0012,hepe,ss+RNA,28
hepe0013,hepe,ss+RNA,29
hepe0015,hepe,ss+RNA,30
hepe0016,hepe,ss+RNA,31
hepe0018,hepe,ss+RNA,32
hepe0019,hepe,ss+RNA,33
hepe0020,hepe,ss+RNA,34
hepe0021,hepe,ss+RNA,35
hepe0022,hepe,ss+RNA,36
hepe0024,hepe,ss+RNA,37
hepe0025,hepe,ss+RNA,38
hepe0026,hepe,ss+RNA,39
hepe0027,hepe,ss+RNA,40
hepe0028,hepe,ss+RNA,41
hepe0029,hepe,ss+RNA,42
hepe0030,hepe,ss+RNA,43
hepe0031,hepe,ss+RNA,44
hepe0033,hepe,ss+RNA,45
hepe0037,hepe,ss+RNA,46
hepe0041,hepe,ss+RNA,47
hepe0042,hepe,ss+RNA,48
hepe0044,hepe,ss+RNA,49
hepe0045,hepe,ss+RNA,50
hepe0046,hepe,ss+RNA,51
hepe0047,hepe,ss+RNA,52
hepe0048,hepe,ss+RNA,53
hepe0050,hepe,ss+RNA,54
hepe0051,hepe,ss+RNA,55
hepe0053,hepe,ss+RNA,56
hepe0054,hepe,ss+RNA,57
hepe0056,hepe,ss+RNA,58
hepe0057,hepe,ss+RNA,59
hepe0062,hepe,ss+RNA,60
hepe0063,hepe,ss+RNA,61
hepe0064,hepe,ss+RNA,62
hepe0065,hepe,ss+RNA,63
hepe0066,hepe,ss+RNA,64
hepe0068,hepe,ss+RNA,65
hepe0069,hepe,ss+RNA,66
hepe0071,hepe,ss+RNA,67
hepe0072,hepe,ss+RNA,68
hepe0073,hepe,ss+RNA,69
hepe0075,hepe,ss+RNA,70
hepe0076,hepe,ss+RNA,71
hepe0077,hepe,ss+RNA,72
hepe0080,hepe,ss+RNA,73
hepe0081,hepe,ss+RNA,74
hepe0084,hepe,ss+RNA,75
hepe0085,hepe,ss+RNA,76
hepe0086,hepe,ss+RNA,77
luteo0001,luteo,ss+RNA,78
luteo0002,luteo,ss+RNA,79
luteo0003,luteo,ss+RNA,80
