virus_name	contig_name	length	prop_masked_host	prop_masked_reciprocal	prop_masked_all
flavi-like_19NBSDH2099_6579_m6.0000_1522	flavi-like_19NBSDH2099_6579_m6.0000_1522	1522	0.0	0.0	0.0
toti-like_20MDXYW3284_17741_m430.0000_7168	toti-like_20MDXYW3284_17741_m430.0000_7168	7168	0.0	0.0	0.0
tombus-like_20MDXYW3284_3304_m11.0000_2243	tombus-like_20MDXYW3284_3304_m11.0000_2243	2243	0.0	0.0	0.0
yue-like_20ZJSDH0270_17696_m159.0000_6540	yue-like_20ZJSDH0270_17696_m159.0000_6540	6540	0.0	0.0	0.0
picorna-like_21JGDQWCGCRYW3550_17778_m6.0000_2274	picorna-like_21JGDQWCGCRYW3550_17778_m6.0000_2274	2274	0.0	0.0	0.0
mono-like_20MJJBMBM3280_5283_m851.0000_11705	mono-like_20MJJBMBM3280_5283_m851.0000_11705	11705	0.0	0.0	0.0
narna-like_20MXCBM1321_1932_m197.0000_2125:2122:221	narna-like_20MXCBM1321_1932_m197.0000_2125:2122:221	2125	0.0	0.45176470588235296	0.45176470588235296
toti-like_20YZLK7KW3373_22072_m12.0000_2298	toti-like_20YZLK7KW3373_22072_m12.0000_2298	2298	0.06353350739773717	0.0	0.06353350739773717
mono-like_21ARQ1BMKW3476_33714_m11.0000_1264	mono-like_21ARQ1BMKW3476_33714_m11.0000_1264	1264	0.0	0.0	0.0
picorna-like_21HLECQBMAW3535_9678_m4.0000_1470	picorna-like_21HLECQBMAW3535_9678_m4.0000_1470	1470	0.0	0.0	0.0
luteo-like_19HUNKW0949_6379_m2328.0000_3457	luteo-like_19HUNKW0949_6379_m2328.0000_3457	3457	0.0	0.12583164593578247	0.12583164593578247
picorna-like_19MHMZJZAW1737_9884_m17.0000_4048	picorna-like_19MHMZJZAW1737_9884_m17.0000_4048	4048	0.0	0.0	0.0
toti-like_20NXYW0332_16064_m10.0000_1639	toti-like_20NXYW0332_16064_m10.0000_1639	1639	0.0	0.0	0.0
mono-like_20NXYW0340_8374_m156.0000_7005	mono-like_20NXYW0340_8374_m156.0000_7005	7005	0.0	0.0	0.0
astro0002	20GZKW0435_31958_multi50_len9658_astro0002	9658	0.0	0.0	0.0
astro0003	20ZJKW0261_14212_multi6_len901_astro0003	901	0.0	0.0	0.0
birna0001	19GDYW2119_1717_multi4093_len5287_birna0001	5285	0.0	0.0	0.0
birna0003	20CY1KW1508_8329_multi23438_len5048_birna0003	3219	0.0	0.0	0.0
birna0004	20WDSDH1343_11490_multi43_len4659_birna0004	3430	0.0	0.11661807580174927	0.11661807580174927
birna0006	19MHMHCAW1695_9831_multi6_len1219_birna0006	1219	0.0	0.0	0.0
birna0007	19MHMHCSDH1687_11066_multi18_len6073_birna0007	5968	0.0	0.0	0.0
birna0005	19MHMZJZSDH1721_20666_multi11_len4541_birna0005	4541	0.0	0.09689495705791676	0.09689495705791676
flavi0001	21SCSDH2709_23516_multi505_len10957_flavi0001	10902	0.0	0.2515134837644469	0.2515134837644469
flavi0010	20WDYW1330_783_multi1065_len11072_flavi0010	11057	0.3907027222573935	0.0	0.3907027222573935
flavi0002	20DHMSDH1392_5373_multi173_len10853_flavi0002	10780	0.0	0.2688311688311688	0.2688311688311688
flavi0003	20CY1SDH1520_11179_multi126_len10830_flavi0003	10830	0.0	0.0729455216989843	0.0729455216989843
flavi0009	20WHSDH0587_1548_multi515_len17706_flavi0009	17644	0.0	0.031795511221945134	0.031795511221945134
flavi0004	20HEBKW0710_30390_multi803_len10964_flavi0004	10778	0.0	0.0	0.0
flavi0008	20WDSDH1346_15573_multi613_len17664_flavi0008	17664	0.0	0.020323822463768116	0.020323822463768116
flavi0013	M20GZSDH1270_10495_multi181_len11009_flavi0013	11009	0.0	0.0	0.0
flavi0029	M20HKSDH1282_30707_multi7_len2913_flavi0029	2913	0.0	0.0	0.0
flavi0006	19MHMZJZYW1702_7080_multi919_len10727_flavi0006	10727	0.0	0.0	0.0
flavi0007	20CY2SDH1556_1802_multi176_len18493_flavi0007	18493	0.0	0.010652679392202455	0.010652679392202455
flavi0018	M19NMKW1320_17416_multi266_len17082_flavi0018	17082	0.005561409670998712	0.005561409670998712	0.005561409670998712
flavi0033	21JGDQWCGAW3543_663_multi11519_len3013_flavi0033	2872	0.0	0.0	0.0
flavi0034	21ARQ2BMKW3492_19757_multi43463_len12779_flavi0034	10485	0.0	0.0	0.0
flavi0035	20YZCYBGKW3405_1533_multi1344_len18468_flavi0035	18468	0.0	0.01099198613818497	0.01099198613818497
hepe0001	19BJYW1824_19618_multi1405_len10899_hepe0001	10731	0.0	0.007455036809244245	0.007455036809244245
hepe0004	19GDKW1935_68_multi1419_len8072_hepe0004	7842	0.0	0.0	0.0
hepe0002	20GZAW0463_19647_multi845_len9655_hepe0002	9313	0.0	0.0	0.0
hepe0003	20AHKW0207_8454_multi329_len10867_hepe0003	10867	0.0	0.01886445201067452	0.01886445201067452
