"qseqid","vmr_invert_assoc_score","vmr_invert_assoc_tophit","vmr_tophit_pident","vmr_tophit_evalue","vmr_tophit_length","vhdb_invert_assoc_score","vhdb_invert_assoc_tophit","vhdb_tophit_pident","vhdb_tophit_evalue","vhdb_tophit_length","assignment_rpm","assignment_manual","assignment_vmr","assignment_vhdb","is_core","evidence"
"astro-poty-like_NP_040807.1_Plum_pox_virus",0,FALSE,54.1,0,2945,0,FALSE,54.7,0,2935,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NP_045216.1_Sweet_potato_feathery_mottle_virus",0,FALSE,50.7,0,3038,0,FALSE,50.7,0,3038,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NP_062866.2_Turnip_mosaic_virus",0,FALSE,51.4,0,3052,0,FALSE,51.9,0,2993,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NP_570725.1_Scallion_mosaic_virus",0,FALSE,52.7,0,2947,0,FALSE,53.2,0,2932,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NP_982308.1_Chilli_veinal_mottle_virus",0,FALSE,49.4,0,2971,0,FALSE,49.4,0,2971,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_001427388.1_Wild_tomato_mosaic_virus",0,FALSE,50.3,0,3018,0,FALSE,50.3,0,3018,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_001552409.1_Tobacco_vein_banding_mosaic_virus",0,FALSE,51.3,0,2950,0,FALSE,51.3,0,2950,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_002308453.1_Narcissus_yellow_stripe_virus",0,FALSE,52.8,0,2924,0,FALSE,52.4,0,2962,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_002519375.1_Pepper_veinal_mottle_virus",0,FALSE,50.8,0,2933,0,FALSE,50.8,0,2933,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_004046670.1_Sweet_potato_virus_C",0,FALSE,52.6,0,2959,0,FALSE,52.6,0,2959,NA,NA,FALSE,FALSE,FALSE,"VMR"
